Product Name,Product Details,Price,Actual Price,Discount Percentage
Long Green Pumpkin,500g - Approx 3 pieces per KG,2.48SAR,,
Zucchini Foam Box 800-900 g,,9.95SAR,,
Fish Mango,,4.97SAR,,
Apple Fuji,500g - Approx 6 pieces per KG,4.47SAR,,
Guava Box,,34.95SAR,,
Fresh Kuraith Local,1 piece  - Approx 1000 pieces per KG,0.99SAR,,
Coscia Pear,500g - Approx 10 pieces per KG,5.97SAR,,
"Blackberries Imported, Pack, Approx 170g",,17.95SAR,SAR23.95,25% OFF
Egyptian Mango,500g - Approx 7 pieces per KG,7.97SAR,,
Imported Strawberry 250g,,17.95SAR,SAR23.95,25% OFF
Cucumber Tray 500g,,7.95SAR,,
"Carrot Bag, Approx 1kg",,7.95SAR,,
Tomato Bunch Local,500g - Approx 6 pieces per KG,22.48SAR,,
Grapes white seedless,500g - Approx 1 piece per KG,9.97SAR,,
Pomelo,500g - Approx 1 piece per KG,5.47SAR,,
Royalgala Apple Jumbo,500g - Approx 6 pieces per KG,5.47SAR,,
"Navel Orange, Big",1KG - Approx 3 pieces per KG,12.95SAR,,
Potato Foam Box,,7.95SAR,,
Black Grapes,500g - Approx 2 pieces per KG,6.97SAR,,
Fresh Habak Local,1 piece  - Approx 5000 pieces per KG,0.95SAR,,
Indian Green Chilly,500g - Approx 71 pieces per KG,9.97SAR,,
Banana Delmonte,500g - Approx 7 pieces per KG,1.98SAR,SAR2.45,19% OFF
Cucumber,500g - Approx 10 pieces per KG,1.45SAR,SAR2.45,40% OFF
Potato Fresh,500g - Approx 7 pieces per KG,1.95SAR,,
Tomato,500g - Approx 7 pieces per KG,1.75SAR,SAR1.95,10% OFF
Onion Red,500g - Approx 10 pieces per KG,1.25SAR,SAR1.48,15% OFF
Lemon,500g - Approx 6 pieces per KG,2.48SAR,SAR3.95,37% OFF
Fresh Saudi Carrot,500g - Approx 7 pieces per KG,1.98SAR,SAR2.45,19% OFF
Fresh Green Capsicum,500g - Approx 5 pieces per KG,3.45SAR,,
Selected Tomato,500g - Approx 6 pieces per KG,1.98SAR,,
Lettuce Romaine,500g - Approx 2 pieces per KG,2.98SAR,,
Royal gala Apple,500g - Approx 6 pieces per KG,3.95SAR,,
Zucchini,500g - Approx 9 pieces per KG,2.25SAR,SAR3.48,35% OFF
Big Eggplant,500g - Approx 6 pieces per KG,2.95SAR,,
Mandarin,500g - Approx 9 pieces per KG,5.97SAR,,
Iceberg Lettuce,500g - Approx 1 piece per KG,2.98SAR,SAR3.48,14% OFF
