Product Name,Product Details,Price,Actual Price,Discount Percentage
"Hisense Fridge, 2 door, 16.4 CU/FT RT59W2NK",,"4,399.00SAR",,
"Midea, Refrigerator, 338 Liter, Double Door, 12 Cft, Silver (Installation Not Included)",,"2,390.00SAR",,
"Hisense E Class Twin Tub Washing Machine, 7 kg Capacity, White (Installation Not Included)",,548.00SAR,"SAR1,199.00",54% OFF
"Fisher Twin-Sink Washer 12KG, FW-P12000N, White (Installation Not Included)",,"1,099.00SAR","SAR1,210.00",9% OFF
"Hisense 508 Liter Side By Side Door Refrigerator, RT66W2NL, 2 Years Warranty (Installation Not Included)",,"2,299.00SAR","SAR4,999.00",54% OFF
"Fisher Two Basin Washer 10 KG, FW-P10000N, White (Installation Not Included)",,999.00SAR,"SAR1,110.00",10% OFF
"Hisense 509 Liter Side By Side Door Refrigerator, RS67W2NQ, With 2 Years Warranty (Installation Not Included)",,"2,699.00SAR","SAR4,699.00",42% OFF
"Hisense 569 Liter Side By Side Door Refrigerator, RS74W2NQ, With 2 Years Warranty (Installation Not Included)",,"2,999.00SAR","SAR5,199.00",42% OFF
"Midea Gas Oven, 115 Litres Capacity, 60x90cm Size, Steel (Installation Not Included)",,"1,949.00SAR","SAR2,309.00",15% OFF
"Arrow Front Loading Washing Machine, 10Kg Washing, 6Kg Drying, RO-10FWMS (Installation Not Included)",,"2,075.00SAR","SAR2,349.00",11% OFF
"Haam Important Inverter Top Load Washing Machine, 16 Kg Capacity, Silver (Installation Not Included)",,"1,945.00SAR",,
"White Westinghouse Minibar Fridge 46 Liters, WWMR9KS46",,499.00SAR,SAR769.00,35% OFF
"Midea 260 Litres Single Door Upright Refrigerator, HS338FWEDS (Installation Not Included)",,"2,318.00SAR","SAR3,418.00",32% OFF
"Samsung 820L Freestanding French Side By Side Refrigerator With Bottom Freezer, RF71A9671SR, 2 Years Warranty (Installation Not Included)",,"7,999.00SAR","SAR21,499.00",62% OFF
"Samsung 527 Liter Double Door Refrigerator, RT53K6100S8B, 2 Years Warranty (Installation Not Included)",,"3,325.00SAR","SAR3,525.00",5% OFF
"Samsung 9Kg Washer With 6Kg Dryer, Front Load, LED Panel, DIT, Eco Bubble, WD90TA046BX/YL, Inox, 2 Years Warranty (Installation Not Included)",,"2,999.00SAR","SAR5,999.00",50% OFF
"Toshiba 555 Litres Double Door Refrigerator, Gr-A720Ate(S), Min 2 Years Warranty (Installation Not Included)",,"3,399.00SAR","SAR3,899.00",12% OFF
Toshiba Top Load Washing Machine (Installation Not Included),,"1,716.00SAR","SAR1,916.00",10% OFF
"Hitachi Front Load Washer, 7kg, BD-70CVE 2206",,"2,159.00SAR",,
