Product Name,Product Details,Price,Actual Price,Discount Percentage
Tefal bagless vacuum cleaner 2000 W - red/black,,489.00SAR,,
"Daewoo Toaster 4 Slices, 1300 DST-6576",,99.00SAR,SAR119.00,16% OFF
Dots Water Dispenser Water Dispenser With Hot Norma,,399.00SAR,SAR480.00,16% OFF
"Philips Blender, 700 W, 1.5Lt Glass Jar, 5 Speeds, Pulse, White And Green, Piano Buttons, 4 Star Blade, Mill",,285.00SAR,SAR320.00,10% OFF
Kenwood electric fruit juice extractor 800W OWJEP02.A0WH,,229.00SAR,SAR399.00,42% OFF
"Rebune Pop Cake Maker, White, RE-5-064",,85.00SAR,SAR159.00,46% OFF
Nikai NEM1990A Espresso Machine 850W,,249.00SAR,SAR369.00,32% OFF
Moulinex SM1540 Sandwich Maker White 700W,,129.00SAR,SAR159.00,18% OFF
"Geepas Electric Turkish Coffee Maker, Stainless Steel, GK38050, 0.8L Capacity, 360-Degree Rotation, Non-Automatic Cut Off, Coffee Kettle For Home Office, Food Grade And Safe To Drink",,99.00SAR,SAR129.00,23% OFF
My Choice FCM192 Capsule Coffee Machine,,349.00SAR,,
"Nikai 65 Liter 2200W Kitchen Oven with 4 Stages Heating Selector, Model No. NT6500SRC1",,399.00SAR,SAR589.00,32% OFF
"Dlc Sandwich Maker 750W Dlc-600, White",,64.00SAR,SAR129.00,50% OFF
Nakai split AC 1.5 t NSAC18136C20N,,"1,999.00SAR",,
Dlc Electric Waffle Maker 1000W Dlc-W4486 Black,,98.00SAR,SAR199.00,50% OFF
My Choice First 1 FSM998 Stand Mixer,,389.00SAR,,
Krypton 2 - Burner Stainless Steel Gas Stove Kngc6034N Silver,,117.00SAR,SAR140.00,16% OFF
"Midea Window Air Conditioner, 1.5 Ton Cool, Inverter, Remote Control, Installation Not Included",,"2,195.00SAR",,
Kenwood microwave owmwm20.000wh,,349.00SAR,SAR449.00,22% OFF
"Gree Split Air Conditioner Pular Pro Inverter, 1.5 Ton Cool, WiFi (Installation Not Included)",,"2,449.00SAR",,
Hactc Electric Oven With Rotisserie 70L2280 W - Black/Silver,,369.00SAR,SAR650.00,43% OFF
GVC Pro Window Conditioner 17200 - Cool (Installation Not Included),,"1,370.00SAR","SAR1,499.00",8% OFF
ATC 0.6L Rice Cooker,,61.00SAR,SAR99.00,38% OFF
Kenwood KHC29.A0SI Prospero Stand Mixer 1000W With Stainless Steel Bowl 4.3L Silver,,749.00SAR,SAR899.00,16% OFF
Sharp R-28CNS(K) Convection And Grill Microwave Oven 28L,,899.00SAR,,
Black & Decker CBM4-B5 Coffee Bean Mill Brown 150W,,89.00SAR,SAR129.00,31% OFF
"Olsenmark Stand Fan, 16 Inch - Piano Button Switches, 3 Speed Settings - 5 Leaf Abs Transparent Blades - Adjustable Height - Horizontal Oscillation - Cooling For Summer In The Home/Office",,150.00SAR,SAR187.00,19% OFF
"Philips food processor, HR7605/10",,209.00SAR,SAR299.00,30% OFF
Krypton Automatic Dry Iron With Non-Stick Golden Teflon Soleplate & Adjustable Thermostat Control Indicator Light 1200 W Kndi6032 White,,65.00SAR,SAR78.00,16% OFF
Tefal air low fat fryer easy fry delux 4.2 L 1500W EY401D27,,409.00SAR,SAR499.00,18% OFF
"Geepas 1700W Air Fryer- 8L Non-Stick Basket With 3D Air Flow System, Oil-Free Cooking & Overheat Protection, 60 Min Timer With Temperature Control Knob",,445.00SAR,SAR534.00,16% OFF
Moulinex Electrical Pressure Cooker 5L CE753827,,399.00SAR,SAR599.00,33% OFF
BRAUN COFFEE MAKER KF1100WH,,149.00SAR,SAR219.00,31% OFF
"Rebune Hand Blender, Re-2-128",,135.00SAR,SAR199.00,32% OFF
Nikai Rice Cooker 762 Watt White 1.8L,,109.00SAR,SAR139.00,21% OFF
Dlc Coffee Maker Dlc-Cm7302 800W 1.25L Black,,90.00SAR,SAR199.00,54% OFF
"Krypton Stand Mixer, 250W Mixer With Rotating Bowl, Knsm6242, 5 Speed Setting, Beaters & Dough Hooks For Easy Egg, Whipping, Mixing Dough, Cookies, Brownies",,158.00SAR,SAR189.60,16% OFF
"Nikai Single Electric Hot Plate, 1500W, NKTOE4N, Silver",,89.00SAR,SAR109.00,18% OFF
"Gree Split Air Conditioner, 22000 BTU, Cold (Installation Not Included)",,"2,898.00SAR",,
Mychoice Rice Cooker,,135.00SAR,,
Delonghi espresso machine ec146.b,,269.00SAR,SAR449.00,40% OFF
"Nikai Hand Mixer, 300W, Nh787T2, White",,59.00SAR,SAR99.00,40% OFF
DLC 3-In-1 Capsule Coffee Machine 1450W Dlc-Cm7316 Black/Red/Clear,,208.00SAR,SAR499.00,58% OFF
"Delonghi idealfry air fryer, 1400W, 1.25L, DLFH2101.W, Grey",,369.00SAR,SAR749.00,50% OFF
"Sky-Touch Essential Oil Diffuser, 550ml Oil Diffuser With 4 Timer, Aromatherapy Diffuser With Auto Shut-Off Function, Cool Mist Humidifier Bpa-Free For Bedroom Home -Dark Brown",,89.00SAR,SAR189.00,52% OFF
Dlc Turkish Coffee Maker 300Ml Dlc-38105W White,,55.50SAR,SAR80.00,30% OFF
"Braun food processor, 2.1L, 800W, FP3131WH",,269.00SAR,SAR399.00,32% OFF
Tefal steam iron 2400w bl white,,229.00SAR,,
"Keon Steam Iron, 2200 Watts",,82.00SAR,SAR99.00,17% OFF
Bissell Vacuum cleaner 2024e bagless,,229.00SAR,SAR399.00,42% OFF
DLC Garment Steamer 1800W DLC-531 -Red/White,,187.00SAR,SAR266.00,29% OFF
Rebune Coffee Maker 0.5L 800W RE-6-022,,139.00SAR,SAR165.00,15% OFF
White westinghouse microwave 42L mw42vg - white,,599.00SAR,SAR649.00,7% OFF
"ATC H-Pm350 Popcorn Maker, 1200 Watts - Hpm-350 Multi Color",,59.00SAR,SAR99.00,40% OFF
"NESCAF Dolce Gusto MiniMe Coffee Machine
r",,449.00SAR,,
Rebune Electric Single Burner 1000W RE-4-014 White/Silver,,79.00SAR,SAR85.00,7% OFF
"Kion Garment Steamer 1.7L, 1800W, KGC/1004, Black",,208.00SAR,SAR280.00,25% OFF
Arrow Air Fryer Oven 23L 1700W With Glass Door Ro-25Afb,,479.00SAR,,
Kenwood blender smoothie maker 350W OWBLM05.A0BK,,159.00SAR,SAR199.00,20% OFF
Philips kettle keep warm hd9316/03,,177.00SAR,SAR218.90,19% OFF
"Nutricook Air Fryer, 5.5 Liters, 1700 Watts, Digital Control Panel Display, 10 Preset Programs with built-in Preheat function,",,549.00SAR,,
Moulinex HM250127 Easy Max Hand Mixer 200W,,135.00SAR,SAR158.00,14% OFF
"Jano Electric Kettle, 1.7L, 1800W, JN2361, Silver",,44.00SAR,SAR46.80,5% OFF
"Arrow Water Dispenser, Bottom Loading, Ro-19Wdblp, Hot And Cold",,599.00SAR,SAR639.00,6% OFF
Tefal Stainless Steel Electric Kettle Silver 1.7L 2400W,,189.00SAR,,
Generic Automatic Water Dispenser,,53.00SAR,,
"Geepas Multi-Function Pressure Cooker, Steamer & Egg Boiler, GMS35037, Non-Stick Pot, 24 Hours Delay Timer, 18-In-1 Multi-Functions, Cook Rice, Crispy, Soup, Stew, Porridge, Steam, Slow Cooker, Cake",,566.00SAR,SAR679.20,16% OFF
"Bissell vacuum cleaner wet & dry, 3in1, 1713K",,949.00SAR,"SAR1,399.00",32% OFF
"Rebune 1.8L Power Glass Kettle 2200 W, RE-1-122",,149.00SAR,SAR190.00,21% OFF
"Alsaif-Elec Electric Healthy Air Fryer For Fry/Grill/Bake/Roast, 6L, 1800W, AL7204, Red",,242.00SAR,SAR300.00,19% OFF
kenwood hand blender OWHDP102WH,,179.00SAR,,
Kenwood kettle 1.7 L 2150W OWZJP01.A0BK,,141.00SAR,SAR199.00,29% OFF
"Dora Water Dispenser, DWD12TV, White",,459.00SAR,SAR499.00,8% OFF
Braun hand blender MQ5235WH,,249.00SAR,SAR349.00,28% OFF
"Arrow 23 Litres Digital Microwave Oven, Model No Ro-23Mgs",,393.00SAR,,
Tefal KO200127 Cordless Electric Kettle 1.7L,,139.00SAR,,
"ATC Steel Hand Blender, H-Hb792, Multi Color",,79.00SAR,SAR99.00,20% OFF
Braun Toaster 2 slices ht1010wh,,119.00SAR,SAR189.00,37% OFF
