Product Name,Product Details,Price,Actual Price,Discount Percentage
"Geepas Portable And Rechargeable Professional Speaker, GMS11171, Bluetooth/USB/Tf Card/Fm/TWS, Remote Control, Microphone & Guitar Input Jack, 7.4V 3600mAh Lithium Battery",,609.00SAR,SAR730.80,16% OFF
DLC Bluetooth Radio Speaker - Black/Silver,,93.00SAR,SAR120.00,22% OFF
"Krypton High Power 2.1 Professional Speaker - Multimedia Speaker System With Subwoofer - USB/SD/FM/BT/ - Speakers For Computers, Laptop, TV, Tablet, Music Player - Remote Controller, 2 Years Warranty",,302.00SAR,SAR362.40,16% OFF
Skyworth SK-SUB29-960FB 2.0 CH 60W Soundbar,,349.00SAR,SAR749.00,53% OFF
Geepas Wireless Entertainment Microphone Gmp3927 Silver/Black,,109.73SAR,,
"JBL Charge 5 Portable Speaker, Built-In Powerbank, Powerful JBL Pro Sound, Dual Bass Radiators, 20H of Battery, IP67 Waterproof And Dustproof, Wireless Streaming, Dual Connect, Teal",,819.00SAR,,
Twisted Minds RGB Wireless Bluetooth Sound Bar,,173.42SAR,,
"Borofone BP1 Portable Mini Bluetooth Speaker, Grey",,49.00SAR,,
"JBL Clip 4 Bluetooth Speaker, Yellow",,324.00SAR,,
Twisted Minds W105 RGB Gaming Microphone – Black,,367.00SAR,SAR410.00,10% OFF
JBL Flip 5 Portable Waterproof Bluetooth Speaker - Red,,450.00SAR,,
JBL Flip 5 Portable Waterproof Bluetooth Speaker (Blue),,450.00SAR,,
"Olsenmark Rechargeable Portable Speaker, Digital Alarm Clock, Bluetooth, AUX, TF Card, FM Radio, SD/USB Functions, OMMS1217",,81.90SAR,SAR98.28,16% OFF
"Krypton Portable Bluetooth Speaker With Huge Battery Powerful Bass, Loud Speaker And LED Light",,93.28SAR,,
Generic Bein Sports One Year Subscription With World Cup 2022,,"1,555.00SAR","SAR1,999.00",22% OFF
JBL PBM100 Wired Microphone,,159.00SAR,SAR179.00,11% OFF
"Bein Sport Receiver With 1 Year Subscription Bundle Subscription, World Cup 2022 Bein Sport Receiver",,"1,799.00SAR","SAR1,999.00",10% OFF
"JBL Bar 51 Immersive 4K Ultra HD Channel Soundbar Wireless Speaker - Black, JBLBAR51IMBLKUK",,"2,519.00SAR","SAR2,999.00",16% OFF
Redragon Quasar GM200 Omnidirectional USB Condenser Microphone,,218.77SAR,SAR290.00,24% OFF
JBL Clip4 Bluetooth Speaker Green/Purple/Yellow,,279.00SAR,SAR350.00,20% OFF
Twisted Minds RGB 2.0 Wired Sound Bar,,165.41SAR,SAR200.00,17% OFF
"Apple HomePod Mini, White",,699.00SAR,,
Redragon Seyfert GM100 Professional Gaming Microphone With Pop Filter,,186.75SAR,SAR210.00,11% OFF
Redragon GM-99 STIX Microphone,,112.10SAR,SAR130.00,13% OFF
JBL Flip 5 Portable Waterproof Bluetooth Speaker With Hybrid Carrying Case (Gray),,450.00SAR,,
Olsenmark 2.1 Professional Speaker Omms1117,,317.00SAR,SAR380.40,16% OFF
"Olsenmark Wireless Speaker, 2.0 CH Bluetooth Speaker, OMMS1288",,121.11SAR,,
"JBL 2.1 Deep Bass, Channel Soundbar Wireless Speaker Bar21db - Black",,"1,299.00SAR","SAR1,699.00",23% OFF
"Apple Homepod Mini, Space Gray",,799.00SAR,,
"Olsnenmark Rechargeable Party Speaker, 15 Inch, Omms1277, 20000W Pmpo, 7.4V 2200Mah Battery, Usb/Tf/Fm/Bt/Remote/Led Display/Aux In/Mic",,494.00SAR,SAR592.80,16% OFF
"Apple HomePod Smart Speaker, Space Gray",,"1,849.00SAR","SAR2,599.00",28% OFF
