Product Name,Product Details,Price,Actual Price,Discount Percentage
Hisense Led 58 4k 58a6gs,,"1,649.00SAR","SAR2,599.00",36% OFF
"Arrow 4K Smart QLED TV, 65 Inch, RO-65LCQ",,"2,610.00SAR","SAR3,950.00",33% OFF
Skyworth 58 Inch TV 4K UHD HDR Bluetooth Smart LED TV Google TV - 58SUE9350F,,"1,499.00SAR","SAR2,499.00",40% OFF
"Hisense Laser TV, 120 Inches, 4K UHD, 120L9G-CINE120A, Triple-Laser UST Ultra Short Throw Projector, ALR Screen, 3000 Lumens, Android, HDR10, 40W Dolby Atmos",,"18,499.00SAR","SAR29,999.00",38% OFF
Nikai NIK65MEU4STN Ultra HD Smart LED TV 65inch,,"1,749.00SAR","SAR3,299.00",46% OFF
"Samsung 65 Inch TV, QLED 4K Processor, Slim Look, PQI 3800, HDR 10+, Mega Contrast, Game Bar, Motion Xcelerator Turbo, QA65Q80AAUXUM (2021)",,"11,499.00SAR",,
HP HP001GBBLK5TW HDMI Cable Black 5m,,59.00SAR,,
"Generic Mini Portable Yg400 Projector 1080P With 1200 Lumens 130"""" Large Screen For Home Cinema - White",,399.00SAR,,
Hisense LED TV 65 Inch 4K 65A6GS,,"1,699.00SAR","SAR3,299.00",48% OFF
"Konka 65 Inch 4K UHD LED Frameless Smart TV, Quad Core, HDR10, Android 11, UDG65QR680ANT",,"1,749.00SAR","SAR4,199.00",58% OFF
"Samsung 75 Inch Class Neo QLED 8K Smart TV, QN800A Series, 8K UHD Quantum, HDR 32x, Alexa Built-In, 2021, QA75QN800AUXUM, Black",,"27,999.00SAR",,
"Hisense, 55 Inch, QLED, 4K Ultra HD, Smart TV, - 55A7GQ",,"1,999.00SAR","SAR3,199.00",37% OFF
"Hisense 65 Inch QLED, 4K Ultra HD, Smart TV, - 65A7GQ",,"2,499.00SAR","SAR4,199.00",40% OFF
"Konka 75 Inch 4K UHD LED Smart TV, Quad Core, HDR10, HDMI, USB, UDE75NR311ANTS",,"2,399.00SAR","SAR6,999.00",65% OFF
"Hisense QLED 4K TV, 65 Inches, 65A7GQ, VIDAA U5.0, HDR10+ Dolby Vision Dolby Atmos, 2022 Model",,"2,499.00SAR","SAR4,199.00",40% OFF
"Samsung 85 Inch QLED Flat 4K TV, Quantum Processor, AI Upscale, 100% Color Volume With Quantum Dot, Motion Xcelerator Turbo Plus, QA85Q70AAUXUM (2021)",,"10,999.00SAR","SAR16,999.00",35% OFF
"GVC Pro 58 Inch Smart TV 4K, LD-58TVUS (Installation Not Included)",,"1,799.00SAR","SAR1,999.00",10% OFF
"Konka 55 Inch 4K UHD LED Frameless Smart TV, Quad Core, HDR10, Android 11, UDG55QR680ANT",,"1,349.00SAR","SAR3,499.00",61% OFF
ITL YZ 777HD D-Plug HDMI Cable Black 1.5m,,20.00SAR,SAR25.00,20% OFF
"Samsung, LED TV, 75inch, smart 4K, UA75AU7000UXUM",,"3,799.00SAR","SAR7,999.00",52% OFF
"Hisense QLED 4K TV, 55 Inches, 55A7GQ, VIDAA U5.0, HDR10+ Dolby Vision Dolby Atmos, 2022 Model",,"1,999.00SAR","SAR3,199.00",37% OFF
Samsung UA65AU7000UXUM 4K Ultra HD LED Smart TV 65inch,,"2,499.00SAR","SAR5,999.00",58% OFF
"Impex smart LED TV,4K ,55 inch, gloria",,"1,530.00SAR",,
"Panasonic - Smart LED TV 32'', (TH-32LS670M)",,999.00SAR,,
Phlight projector dz-1200,,534.75SAR,,
"Arrow 65 Inch 4K Smart LED TV, RO-65LCS",,"1,980.00SAR","SAR2,989.00",33% OFF
"Hisense Laser TV, 100 Inches, 4K HDR, 100L9G, Android, HDMI 2.1, Pure Color Cinema Experience, 2022 Model",,"2,499.00SAR","SAR24,999.00",90% OFF
"Konka 55 Inch 4K UHD LED Smart TV, Quad Core, HDR10, UDG55MP672ANT",,"1,249.00SAR","SAR2,999.00",58% OFF
"Haier 65"" 4K UHD HDR, HQLED High Brightness Android, H65S5UG, 2022 (Installation Not Included)",,"2,399.00SAR","SAR2,599.00",7% OFF
Viewsonic M1+_G2,,"2,299.00SAR",,
"Hisense 43 Inches Full HD Smart TV, 43A4G",,999.00SAR,"SAR1,999.00",50% OFF
"Hisense, LED, 55 inch, 4K, 55A6GS",,"3,499.00SAR",,
ITL YZ 746HF HDMI Cable Black 1.5m,,20.00SAR,SAR25.00,20% OFF
"TCL 65 Inch 4K LED HDR10 Google Smart TV A55 Processor 60Hz, 65T635 (2022 Model), Black",,"2,089.00SAR","SAR2,499.00",16% OFF
Datazone LCD Projector - Dz-P-4004,,460.00SAR,,
Treem - Fixed TV Wall Mount 10-32 Inch (TRM-20),,15.00SAR,,
"Konka 65 Inch 4K LED UHD Smart TV, Quad Core, HDR10, HDMI, USB, UDG65MP672ANT",,"1,649.00SAR","SAR3,999.00",58% OFF
"Hisense 80cm/32 Inches Android 11, Series HD, Ready Smart Certified LED TV 32A4G, Black",,598.00SAR,"SAR1,299.00",53% OFF
"Hisense Laser TV, 100 Inches, 4K HDR, 100L5G, Android, Pure Color Cinema Experience, 2022 Model",,"4,399.00SAR","SAR19,999.00",78% OFF
"Geepas LED TV Wall Mount LCD Plasma Perfect Center Design Bracket With Articulating Arm Integrated Bubble Level, Black",,55.33SAR,,
"Hisense QLED 4K TV, 55 Inches, VIDAA U5.0, HDR10+, 55U8GQ, Dolby Vision, Dolby Atmos, Full Array Local Dimming Pro, 2022 Model",,"2,499.00SAR","SAR4,899.00",48% OFF
"Skyworth 65 Inch TV QLED Google TV UHD 4K HDR10+ Dolby Vision Smart TV, 65SUE9500 (2022 Model)",,"2,299.00SAR","SAR4,499.00",48% OFF
"Hisense ULED TV, 55 Inches, 4K UHD, HDR10+, 55U8HQ, Dolby Vision, Dolby Atmos, Full Array Local Dimming Pro, 2022 Model",,"2,199.00SAR","SAR4,199.00",47% OFF
"Sky-Touch TV Wall Bracket For Most 32-55 Inch LED LCD Flat And Curved TVs, Up To 30 Kg, Sturdy TV Wall Mount With Tilt Swivel Extension, Max Vesa 400X400mm, RM-400, Black",,199.00SAR,,
"Hisense ULED UHD TV, 65 Inches, VIDAA U6, 65U7HQ",,"2,999.00SAR","SAR5,499.00",45% OFF
Geepas LCD Plasma LED TV Wall Mount,,56.00SAR,SAR67.20,16% OFF
"HP aux cable 3.5MM ext, 3M",,29.00SAR,,
"Arrqw 55 Inch TV 4K Google Smart LED TV, RO-55LEG (Installation Not Included)",,"1,599.00SAR","SAR1,860.00",14% OFF
"Sky-Touch Universal TV Mount Stands With Bracket For 32-65 Inch LCD LED TVs, Height Adjustable, TV Base Stand Holds 45 Kg & Max, Vesa, 600X400mm",,199.00SAR,,
Viewsonic M1 Mini Plus,,"1,599.00SAR",,
"Skyworth 55 Inch 4K UHD Smart Google TV LED, 55SUE9350F",,"1,399.00SAR","SAR2,999.00",53% OFF
"Skyworth 50 Inch 4K UHD Smart Google TV LED, 50SUE9320F",,"1,299.00SAR","SAR2,499.00",48% OFF
Genx wall bracket gxlp34-46t,,69.00SAR,,
"Samsung 65 Inch TV, QLED 4K, Quantum HDR, Object Tracking, Sound Lite, Smart Hub With 2 Speakers, Dual LED, Smart Calibration, Adjustable Stand, QA65Q60BAUXSA, 2022, Black",,"3,799.00SAR","SAR7,999.00",52% OFF
"Skyworth 55 Inch TV QLED Google TV UHD 4K HDR10+ Dolby Vision Smart TV, 55SUE9500 (2022 Model)",,"1,649.00SAR","SAR3,599.00",54% OFF
"Phlight Fwvga LED Projector 1200 Lumens Yg400, White",,387.50SAR,,
"Skyworth 98 Inch 4K UHD Google TV, Smart LED TV, 98SUE9580",,"13,499.00SAR","SAR19,999.00",32% OFF
"Hisense 8K MiniLED Android Q TV, 75 Inches, 75U80H",,"10,999.00SAR","SAR16,999.00",35% OFF
Hisense 50A6H UHD 4K Smart TV,,"1,279.00SAR","SAR2,499.00",48% OFF
"Skyworth 50 Inch QLED TV 4K UHD Smart Google TV, 50SUE9520",,"1,499.00SAR","SAR2,999.00",50% OFF
Samsung UA70AU7000UXUM 4K Ultra HD LED Smart TV 70inch,,"3,499.00SAR","SAR6,999.00",50% OFF
"HP cable aux, 3.5 M, 1 M",,45.00SAR,,
"Hisense Smart TV 75 Inch, UHD 4K With S2 Receiver T2/S2 , 3 HDMI, 2 USB, 75A6GS",,"2,699.00SAR","SAR5,999.00",55% OFF
"Samsung 75 Inch TV, Neo QLED 4K, Quantum HDR 24X, Dolby Atmos, Audio Smart Hub With 6 Speakers And In-Built Woofer, Mini LED, QA75QN85BAUXSA, 2022, Silver",,"8,399.00SAR","SAR21,999.00",61% OFF
"Samsung 43 Inch TV, The Sero QLED 4K, Mobile Optimized Rotating Screen, Quantum Dot, Smart Hub With 4 Speakers And In-Built Woofer, QA43LS05BAUXSA, 2022, Blue",,"2,799.00SAR","SAR10,999.00",74% OFF
Nikai UHD65SVDLED1 LED TV 65inch,,"1,699.00SAR","SAR2,799.00",39% OFF
"Samsung 75 Inch TV, QLED 4K, Quantum HDR, Object Tracking Sound, Lite Smart Hub With 2 Speakers, Dual LED, Smart Calibration, Adjustable Stand, QA75Q60BAUXSA, 2022, Black",,"5,399.00SAR","SAR11,999.00",55% OFF
"Skyworth 75 Inch 4K UHD Smart Google TV LED, 75SUE9350F",,"3,299.00SAR","SAR4,499.00",26% OFF
"Generic LED Mini Projector Yg400 1000 Lumens Yg400, Black",,387.50SAR,,
"Hisense QLED 4K TV, 65 Inches, VIDAA U5.0, HDR10+, 65U8GQ, Dolby Vision, Dolby Atmos, Full Array Local Dimming Pro, 2022 Model",,"4,399.00SAR","SAR7,999.00",45% OFF
"Anker Nebula Mars2 Portable Projector D2323211, Black",,"2,499.00SAR","SAR2,799.00",10% OFF
"Skyworth 86SUE9550, 86"", 4K, UHD, Smart Ggoogle TV LED",,"4,899.00SAR","SAR9,999.00",51% OFF
