Product Name,Product Details,Price,Actual Price,Discount Percentage
Sony PS5 Controller + 2 Games (Spiderman Miles Morals And Demon's Souls),,620.00SAR,SAR799.00,22% OFF
Kotion Each Over-Ear Gaming Headset With Mic,,59.00SAR,SAR89.00,33% OFF
Generic Gaming Chair With LED Light,,941.65SAR,,
Sony PlayStation 5 Console (KSA Version),,"2,555.00SAR","SAR2,999.00",14% OFF
"Sony DualShock 4 Wireless Controller for PlayStation 4, Jet Black",,290.00SAR,SAR570.00,49% OFF
Sup 400 In 1 Portable Retro Handheld Console,,37.00SAR,SAR50.00,26% OFF
Sony Playstation 5 Pulse 3D Wireless Headset: KSA Version,,388.00SAR,SAR499.00,22% OFF
Sup 400-In-1 Portable Retro Console,,36.00SAR,SAR45.00,20% OFF
Kotion Each Stereo Over-Ear Gaming Headset With Microphone For PS4/PS5/Xone/Xseries/Nswitch/Pc,,75.00SAR,,
Kotion Each G2000 Wired Over-Ear Gaming Headphone With Mic For PS4/PS5/Xone/Xseries/Nswitch/Pc,,89.00SAR,,
"Generic Professional Wired Gaming Headsets With Mic -Tit-Tg-788, Tit-Tg-466, Tit-Tg-468, Tit-Tg-461 For Mobile Phone/PC/Tablets(Optionable)",,148.99SAR,,
Sup Retro Handheld Game,,35.00SAR,SAR40.00,12% OFF
Sony PlayStation 5 Digital Edition,,"2,440.00SAR","SAR3,970.00",38% OFF
Sony PlayStation Classic (with 20 Pre-Loaded Games),,450.00SAR,SAR500.00,10% OFF
Sony Playstation 5 HD Camera: KSA Version,,160.00SAR,SAR230.00,30% OFF
"Sony PS4 Dualshock 4 Controller, Green Camouflage (Official Version)",,395.00SAR,SAR770.00,48% OFF
Sup 400-In-1 Portable Retro Handheld Gaming Console,,40.00SAR,SAR45.00,11% OFF
Sony Playstation 5 DualSense Wireless Controller,,299.00SAR,SAR399.00,25% OFF
Kotion Each G2000 Wired Over-Ear Gaming Headphones With Mic For PS4/PS5/Xone/Xseries/Nswitch/Pc,,73.00SAR,SAR92.77,21% OFF
Sades Over-Ear Wired Stereo Gaming Headphone With Mic,,73.00SAR,SAR97.61,25% OFF
Beauenty G2000 Ft Gaming Headset Black/Blue,,110.00SAR,SAR122.50,10% OFF
Kotion Each Over-Ear Gaming Headset With Mic,,84.00SAR,SAR102.45,18% OFF
Kotion Each G2000 Wired Over-Ear Gaming Headphones With Mic,,79.00SAR,SAR85.00,7% OFF
