S,SKU,fullName,requestedQuantityNew,totalRevenueNet,totalRevenueGrossSAR,jda122Price,priceDifference,source
1,774500,Nova Drinking Water 40*330ml,353,6286.5,6321.50  SAR,22,Not found in the first array,Beverages - Coffee.csv
10,925980,Safa Drinking Water 40*330ml,128,2279.35,2296.85  SAR,21.5,Not found in the first array,Beverages - Coffee.csv
53,1194160,Tanmiah Chilled Fresh Chicken 900g,57,1097.25,1137.15  SAR,19.95,Not found in the first array,Beverages - Coffee.csv
91,1194941,Nova Drinking Water 6*1.5L,113,828.5,857.35  SAR,9.95,Not found in the first array,Beverages - Coffee.csv
38,1197035,Medium-Large Eggs 30 pc,651,10321.35,,21.5,Not found in the first array,Beverages - Coffee.csv
72,1198115,Lamb Weston Original Fries 2500g,47,956.7,1066.45  SAR,31.95,Not found in the first array,Beverages - Coffee.csv
75,1217975,Lay's Chili Potato Chips 155g,85,554.05,,7.5,Not found in the first array,Beverages - Coffee.csv
74,1242895,Goody Tenderina Soft Tuna 185g,85,576.85,,9.5,Not found in the first array,Beverages - Coffee.csv
21,1800190,L'usine White Sliced Bread 600g,339,1695,1695.00  SAR,5,Not found in the first array,Beverages - Coffee.csv
59,1800200,L'usine Sesame Seeds Burger Buns 6pc,95,337,,4,Not found in the first array,Beverages - Coffee.csv
94,1800360,L'usine Brown Sliced Bread 600g,141,819.5,819.50  SAR,6,Not found in the first array,Beverages - Coffee.csv
51,1817375,Puck Mozzarella Cheese Creamy 900g,52,1151.52,1151.52  SAR,54.95,Not found in the first array,Beverages - Coffee.csv
64,1850815,The Three Cows Shredded Mozzarella Cheese Analogue 900g,44,990.6,1058.60  SAR,44.25,Not found in the first array,Beverages - Coffee.csv
52,1898655,Patent All Purpose Flour 1kg,105,561,,5.5,Not found in the first array,Beverages - Coffee.csv
99,1990815,Chicken Nuggets 400 g,506,4217.55,,17.95,Not found in the first array,Beverages - Coffee.csv
62,5716555,Doritos Nacho Sweet Chili Pepper Tortilla Chips 175g,93,584.15,,8.75,Not found in the first array,Beverages - Coffee.csv
